,Recipe name,Ingredients,Carbon emission(kg),Energy(kcal),fat(g),Protein(g),Carbohydrate(g),Serving,Instructions,Prep time(min),Cook time(min),Total time(min),Breakfast,Lunch,Dinner
10,Quick Mushroom And Lentil Ragu,"['250 g Chestnut Mushrooms', '200 ml Red Wine', '1 Large Onion', '2 Cloves Garlic', '1 Teaspoon Paprika', '1/2 Teaspoon Cinnamon', '1 Tablespoon Plain Flour', '1 Can Chopped Tomatoes (400g)', '1 Tablespoon Tomato Paste', '1 Teaspoon Sugar', '1/4 Teaspoon Oregano', '240 g Cooked Lentils', '2 Tablespoons Olive Oil', '300 g Pasta', '10 g Fresh Parsley']",0.43,2368,40.2,108.2,366.1,6,"['Peel and finely dice the onion and garlic. Chop the mushrooms lengthways into thin slices.;', 'Heat the olive oil in a sauce pan over a medium heat and tip in the onion and garlic. Cook for 3 – 5 minutes until the onion are soft and see-through.;', 'Add the mushrooms to the pan, increase the heat and fry the mushrooms for about 3 mins, stirring occasionally. When the mushrooms have begun to soften, add the flour, oregano, cinnamon and paprika to the pan and mix to combine with the onion and mushrooms. Cook for a further minute.;', 'Add the tomato paste, sugar and wine. Simmer the pan contents until it has reduced and thickened.;', 'Once the wine has reduced, tip in the chopped tomatoes and lentils. Reduce the pan heat until the mixture is just bubbling. Simmer for 10 minutes, stirring occasionally. After this time the sauce should be thick and rich. Season to taste with salt and pepper.;', 'Whilst the sauce is simmering, cook your pasta in salted boiling to packet instructions. When aldente drain, reserving some of the pasta liquid. Use this to loosen your sauce if it gets too thick.;', 'Serve the sauce heaped on top of the pasta with chopped parsley sprinkled on top.']",10,20,30,0,1,1
11,Caribbean Spiced Spinach Dhal,"['200 g Green Lentils (Puy/French style)', '2 Large Onions', '6 Cloves Garlic', '100 g Ginger', '1 (400g) Can Coconut Milk', '200 g Spinach', '2 Spring Onions', '1 Lime', '250 ml Vegetable Stock', '2 Teaspoons Allspice', '1 Teaspoon Turmeric', '1/2 Teaspoon Cinnamon', '1/2 Teaspoon Cayenne Pepper', '2 Teaspoons Smoked Paprika', '2 Teaspoons Mustard Powder', '2 Tablespoons Sugar', '2 Tablespoons Sunflower Oil']",0.25,1952,64.0,81.8,283.8,4,"['Roughly peel and chop the garlic, ginger and onion. Then blend into a rough paste using a food processor.;', 'Heat the sunflower oil into a medium sauce pan and heat over a medium heat. Tip in the onion paste and fry for 3 – 5 minutes or until the paste has begin to take on a little colour.;', 'Toss in all the spices – allspice, turmeric, cinnamon, cayenne pepper, smoked paprika, mustard powder and sugar. Stir into the onion paste until evenly combined and cook for a few minutes.;', 'Pour in the green lentils, coconut milk and stock and bring the pan to the boil. Cover and turn down to a simmer and cook for 30 minutes or until the lentils are soft. (If you are using thinner asian style green lentils you can reduce the cooking time considerably, the lentils should be done after about 15 – 20 minutes).;', 'When your lentils have cooked, take your pan off the heat and season to taste. Then stir in the spinach. With some mixing the leaves should wilt and combine with the lentils.;', 'Serve the dhal with the spring onions, chopped and sprinkled over the top. I like to finish the soup by adding a little coconut or soya yoghurt to the finished dish.']",10,30,40,0,0,1
12,The Best Vegan Kentucky Fried Cauliflower,"['1 Large Head Cauliflower', '400 g Soft White Bread', '300 ml Vegetable Oil', '1 Teaspoon Garlic Powder', '1 Teaspoon Smoked Paprika', '1 Teaspoon Ground White Pepper', '1 Teaspoon Mustard Powder', '1/2 Teaspoon Cumin Powder', '1/2 Teaspoon Dried Thyme', '3 Tablespoons Flour', '2 Whole Eggs Vegan Egg Replacer', '100 ml Plant Milk']",0.56,1746,34.1,80.3,289.5,4,"['First chop all the crusts off your white bread. Then place in a food processor and blend until a fine breadcrumb. Place the breadcrumbs in a large bowl. (If the breadcrumbs are too fresh you may want to de-hydrate in the oven on a low heat until they dry out a bit.);', 'Mix all the batter ingredients, save for the plant milk, in a large mixing bowl into a thick paste. Gradually whisk in the plant milk until you have a thick but smooth batter.;', 'Chop and break the cauliflower into individual florets. The size and shape of these florets don’t really matter, just have fun. I like to vary the size of florets from small pieces to chunky rounds – this gives more of an organic “chickn” feel. You can do whatever you feel just make sure to use as much of the cauliflower as possible. Even the stalk will taste great when coated in the batter and breadcrumbs!;', 'On a large work surface arrange from left to right: first your bowl of broken cauliflower florets, next the bowl of batter, then your breadcrumbs, and finally a large plate for your finished battered cauliflower.;', 'Take a single floret and toss it into the batter bowl. Using one of your hands, cover the entire floret in an even coating of the batter. Then pick up the floret and place it into the breadcrumb bowl. Using your other hand, toss and cover the battered floret in a good helping of breadcrumbs. Once covered, move the finished floret onto the end plate. Repeat until all of your florets are coated.;', 'In a deep heavy pan heat the vegetable oil over a medium to high heat. After a few minutes break a tiny bit of one of your florets off and place into the oil. When this piece is nicely bubbling and browning, your oil is hot enough. If you want to get very precise, you can measure the temperature of the oil, it should be around 170˚c. I tend, however, just to measure the pan heat by eye, either increasing or decreasing the temperature of the oil if the cauliflower is either browning too quick or too slow.;', 'Take a few florets and toss into the pan. They should begin to sizzle almost immediately. Whilst the first side cooks, take spoon and flick the hot oil onto the alternate exposed side. Do this for a few flicks until the exposed side takes on a little colour. Fry your florets for about 2 minutes, or until the underside is sufficiently browned, then turn and cook the alternate side for a further 2 minutes. (if your floret doesn’t really have two distinctive sides, just continue turning and frying until all the sides are browned);', 'Once your florets are evenly cooked, remove from the pan and place on a clean tray. Immediately season with salt. Then repeat the frying process with the rest of the florets until all are cooked.;', 'Serve hot with a side of dipping sauces and salsas to dunk the crispy cauliflower in. I like to serve mine with a tahini dip, Korean hot sauce and vegan aioli.']",25,20,45,1,1,0
13,Apple And Rhubarb Turnovers,"['400 g Vegan Puff Pastry', '400 g Rhubarb', '3 Medium Apples', '200 g Caster Sugar', '2 Tablespoons Demerara Sugar', '3 Tablespoons Margarine', '1 Teaspoon Cinnamon', '1 Tablespoon Sunflower Oil', '1 Tablespoon Plain Flour']",0.34,1718,50.6,6.8,336.9,4,"['Pre-heat your oven to 200˚c.;', 'Dice the rhubarb and apple into evenly sized pieces, about 1 – 2 cm in size. Be sure to remove the core of the apple, but don’t bother removing the skin.;', 'Place the margarine, apple, rhubarb, cinnamon, caster sugar and flour into a small saucepan over a medium high heat. Stir the contents until the margarine has melted. Simmer the pan for 10 – 15 minutes until the rhubarb is soft and apples are starting to tenderise. Remove from the heat and allow to completely cool.;', 'Whilst the apple and rhubarb mix is cooling prepare your pastry. On a floured surface, roll out your into a large square, about 1 cm thick. Take each corner of the square and fold into the center of the pastry. This should give you 4 evenly sized triangles. Take a knife and cut out the triangles, leaving the outer folded edge in tact. Once unfolded you should have 4 evenly sized square pieces of pastry.;', 'Take each square of pastry and place about 3 – 4 heaped tablespoons of cooled fruit mixture in the center. Then fold over one corner to re-make the triangle shape. Press the edges of the triangle with a fork to seal. Repeat until you have done this for all four. Brush the tops of each filled triangle with sunflower oil and dust with the demerara sugar.;', 'Place the triangles on a baking tray and into the pre-heated oven. Bake for 10 minutes until the pastry is golden brown and flaky.']",20,20,40,1,0,0
14,Mustardy Potato Salad With Rocket And Radish,"['50 g Rocket', '100 g Purple Sprouting Broccoli', '75 g Radish', '400 g New Potatoes', '1 Red Chilli', '2 Spring Onions', '1 (400g) Can Chickpeas Or Cannellini Beans', '15 g Fresh Parsley', '2 Tablespoons Extra Virgin Olive Oil', '2 Tablespoons Wholegrain Mustard', '1 Teaspoon Sugar', '1 Clove Garlic', '1 Lemon (juiced)']",0.15,1130,36.0,34.2,172.7,2,"['Quarter the new potatoes and place into a small saucepan. Cover with water and season heavily with salt and cook for 15 – 18 minutes until fork tender. Drain and allow to cool, if you are short on time this can be sped up by running the potatoes under a cold tap.;', 'Whilst the potatoes are cooking, slice the radish and chillies into thin circles. Then chop the spring onions into diagonal slices. Finally chop and break the broccoli into individual florets.;', 'Steam the broccoli florets over the boiling potatoes, or another pan of boiling water, until just wilted and tender. This should take no more than 3 minutes. Once cooked remove and allow the broccoli to cool.;', 'Mince the garlic clove into a fine paste. Then mix together all the dressing ingredients in a small jug, season the dressing to taste, I normally add a teaspoon of salt.;', 'Toss all the salad ingredients together in a large mixing bowl – the potatoes, radish, broccoli, rocket, red chilli, spring onions and chickpeas. Pour over the dressing and combine well. Season with salt and pepper to taste and garnish with a generous helping of chopped parsley.']",10,20,30,0,1,1
15,The Best Red Cabbage Ragu,"['1/2 Red Cabbage (500g)', '1 Large Onion', '2 Cloves Garlic', '1 Teaspoon Paprika', '1/2 Teaspoon Cinnamon', '1 Teaspoon Oregano', '2 Teaspoons Sugar', '1 Tablespoon Plain Flour', '2 Tablespoons Soy Sauce', '1 (400g) Can Chopped Tomatoes', '180 ml Red Wine', '500 ml Vegetable Stock', '2 Tablespoon Olive Oil', '1 Tablespoon Tomato Paste']",0.35,832,31.5,19.3,98.9,4,"['Slice the cabbage into thin 1/2 cm ribbons. Peel and chop the onion and garlic. Heat the olive oil in a large deep frying pan or saucepan over a medium heat. Toss in the onion and garlic and cook until the onion is see-through. Add the spices (cinnamon, oregano, sugar, paprika) and tomato paste to the pan and stir to evenly combine with the onion.;', 'Tip the sliced red cabbage into the pan and fry for a few minutes before adding the flour. Stir the pan to coat the cabbage in flour. Then pour in the soy sauce and red wine. Increase the pan heat to high and reduce the wine to 1/2 its size.;', 'Pour in the chopped tomatoes and stock and bring the pan to the boil. Turn down the heat and simmer. Cook for 30 minutes, stirring occasionally, until the cabbage is soft and the sauce is nice and thick.']",10,35,45,0,1,1
16,Scrambled Tofu And Tempeh Bacon Breakfast Muffin,"['2 English Muffins', '4-6 Large Leaves Romaine Lettuce', '2 Spring Onions', '300 g Silken Tofu', '1 Teaspoon Turmeric', '1/4 Teaspoon Cumin', '200 g Tempeh', '2 Tablespoons Soy Sauce', '1 Tablespoon Maple Syrup', '1 Teaspoon Smoked Paprika', '1 Teaspoon Garlic Powder', '2 Tablespoons Sunflower Oil']",0.39,1191,60.5,72.1,100.9,2,"['Pre-heat the oven to 200˚c.;', 'Whisk the tofu with the turmeric, cumin and 1 tsp of salt, until it reaches a crumbly scrambled texture.;', 'Pour the scrambled tofu into two small ramekins, pressing the tofu to compact it into the ramekin shape. Place in the 200˚c oven and bake for 15 mins.;', 'Whilst the tofu is cooking, slice the tempeh into long and thin strips, about 1/2 a cm thick. In a small bowl mix together the soy sauce, maple syrup, smoked paprika and garlic powder.;', 'Heat the sunflower oil in a large pan over a high heat. Toss in the tempeh strips, fry each side for 2-3 mins until the tempeh begins to take a little colour.;', 'Pour the soy sauce glaze mixture into the pan and evenly coat the tempeh. Reduce the glaze until the outside of the tempeh begins to blacken and brown. Take off the heat and allow the tempeh to rest so that the tempeh bacon glaze begins to harden.;', 'Cut the muffins in two, toast each side. Spread one side with tomato sauce or a condiment of choice. Tip the baked tofu onto one of the muffin sides and top with the tempeh bacon. Arrange a few leaves of lettuce and some chopped spring onions over the top, season with salt and pepper, then cover with the other muffin piece.']",5,20,25,1,0,0
17,20 Minute Vegan Banana Cake,"['2 Medium Bananas', '6 Tablespoons Plain Flour', '4 Tablespoons Caster Sugar', '2 Teaspoons Baking Powder', '1/2 Teaspoon Cinnamon', '6 Tablespoons Sunflower Oil', '6 Tablespoons Plant Based Milk']",0.29,1366,87.8,11.5,146.3,2,"['Preheat the oven to 200˚c.;', 'Peel and mash one of the bananas into a rough paste using a fork. Reserve in a bowl and place to one side. Then slice the remaining banana lengthways twice so you end up with 4 long banana strips. Roughly chop these strips into 1-2 cm banana chunks.;', 'Take a large mixing bowl and pour in the flour, sugar, baking powder, cinnamon, mashed banana and sunflower oil. Whisk the bowl into a cookie dough like paste. Pour in your plant based milk of choice, I like to use oat or soya milk. Then whisk the bowl contents into a smooth batter.;', 'Mix half on the chopped banana chunks into the batter using a fork, just so they are evenly spread in the mixture. Then pour the batter into a shallow baking dish. Cover the batter with the remaining banana chunks. Pro tip: Don’t be tempted to use a large or wide dish for the baking. The cake isn’t designed to rise a lot, so you’ll want a good thickness of batter in the dish (at least a couple of inches), otherwise you risk having a pancake-like cake.;', 'Place into the oven and bake for 18 minutes or until the surface is browned and a knife inserted into the center of the cake comes out clean.']",5,20,25,1,0,0
18,One Pot Pasta With A Chickpea And Tomato Sauce,"['2 Medium Onion', '3 Cloves Garlic', '1 Teaspoon Oregano', '1 Teaspoon Paprika', '1 Teaspoon Chilli Flakes', '400g Can Chickpeas', '1 Tablespoon Tomato Paste', '400g Can Chopped Tomatoes', '200 g Pasta', '500 ml Vegetable Stock', '2 Tablespoons Olive Oil']",0.63,1644,46.2,68.3,243.9,2,"['First peel and finely dice your onion and garlic.;', 'Heat the olive oil in a heavy bottom saucepan over a medium heat and add the chilli flakes and paprika. Toast the flakes for a few minutes before tipping in the onion. Fry for 3-5 minutes until soft. Then add the chopped garlic and oregano and fry for a few minutes more.;', 'Pour in the chickpeas and lightly crush 2/3rds of the chickpeas using a potato masher or fork. Then add the tomato puree and stir the pan to combine all the ingredients into a crumbly chickpea-tomato paste. Tip in the chopped tomatoes bring to the boil, reduce the heat, and simmer for 2 -3 minutes stirring often.;', 'Add the pasta to the tomato sauce and pour over the stock. Simmer the pan for 15 minutes or until the pasta is aldente and the sauce has thickened. Season to taste with salt and black pepper.;', 'Serve the pasta with chopped parsley sprinkled over the top.']",5,20,25,1,1,0
19,Quick Mediterranean Spiced Rice,"['300 g Long Grained Rice', '1 Teaspoon Turmeric', '1 Teaspoon Paprika', '1 Teaspoon Cinnamon', '100 g Raisins', '2 Cloves Garlic', '4 Medium Onions', '1 Tablespoon Sugar', '150 g Pomegranate Seeds', '100 g Radishes', '15 g Mint', '3 Tablespoons Sunflower Oil', '1 Tablespoon Extra Virgin Olive Oil', '100 g Puy Lentils']",0.3,1696,60.0,30.3,282.0,4,"['If you don’t have any of the ingredients at home – don’t worry, read the description for some more ideas about how what you can switch out.;', 'Wash and boil your rice according to packet instructions. This should take 15 – 20 mins depending on the rice used. Drain and reserve.;', 'Whilst your rice is cooking, prep your veggies. Roughly chop the mint and slice the radishes into thin circles. Reserve both for later.;', 'Peel, halve and chop your onions into thin half moon slices. Finely dice your garlic then heat the sunflower oil over a high heat in a shallow frying pan. Once hot add your onions and cook for a few minutes until they begin to soften. Tip in your garlic and sugar and cook for a further 3 – 5 minutes or until your onions begins to caramelise and darken. Remove from the heat.;', 'Once the rice and onions are cooked, combine them in a large mixing bowl. Then tip in the spices (turmeric, paprika, cinnamon) and 1/2 a teaspoon of salt and mix well to evenly incorporate into the rice. Finally, stir in the raisins, lentils, half the pomegranate seeds and the olive oil into the rice.;', 'Plate the rice with the the radishes, mint and rest of the pomegranate seeds arranged on top.']",10,15,25,1,1,1
20,Simple Vegan Pesto,"['30 g Basil', '50 g Pine Nuts', '1 Tablespoon Nutritional Yeast', '50 ml Extra Virgin Olive Oil', '1 Clove Garlic', '1/2 Lemon (juiced)', '1 Teaspoon Salt']",0.25,512,49.0,12.9,15.6,4,"['De-stem the basil reserving in a prep bowl with a few ice cubes. Keeping the basil with ice will make the pesto an amazing emerald green colour, but is not necessary, so don’t stress if you don’t have ice handy.;', 'Lightly toast the pine nuts in a dry frying pan over a medium heat. Fry for about 2-4 minutes until the pine nuts begin to take some colour. Remove from the pan and allow to cool.;', 'Once the pine nuts have cooled. Peel and finely chop the garlic. Then place into a food processor along with the nutritional yeast, pine nuts, salt, and basil. Turn the processor on and slowing pour in first the olive oil and then the lemon juice. If the pesto looks a little thick, add a teaspoon of water at a time until reaching the desired consistency.;']",8,2,10,1,0,0
21,Blood Orange And Hemp Seed Quinoa Tabbouleh,"['400 g Quinoa', '4 Tablespoons Hemp Seed', '5 Large Blood Oranges', '50 g Parsley', '30 g Dill', '30 g Mint', '2 Tablespoons Chopped Shallots', '1 Teaspoons Kosher Salt', '2 Teaspoons Ground Allspice', '2 Tablespoons Extra Virgin Olive Oil']",0.13,2303,57.7,74.6,395.0,6,"['First cook the quinoa. Ensuring to wash the grains a few times under a cold tap in a sive. This will remove any bitterness from the quinoa. Then place in a pan and cover with twice as much water, season, and simmer for 10 – 15 minutes or until the quinoa has absorbed all the water. Remove from the heat, cover and let the quinoa steam for 5 minutes or so. Then tip into a large mixing bowl, fluff with a fork and allow to cool.;', 'Peel, halve lengthways then very thinly slice the shallots. This is best done with a mandolin, but can also be done with a knife.;', 'Using a very sharp knife slice the parsley, then the dill. Only run your knife over the herbs once as this will ensure the herbs don’t bruise and loose their flavour. Then, de-stem the mint and thinly slice the mint, again ensuring not to bruise the herbs.;', 'Zest two of the blood orange skins into a small bowl, then prepare the oranges for chopping. You’ll need to remove the entirety of the skin and pith. The easiest way to do this is to slice the top and bottom off the orange so that it sits flat on the chopping board. Then run your knife from top to bottom on the side of the orange, following the contours of the orange so that the skin is removed. Work your way round the orange until no skin or pith is left.;', 'Once all your oranges are peeled, halve them and remove the central pith with your knife. Then dice the oranges into 1 cm cubes.;', 'Once your quinoa is cold add the chopped herbs and shallots to the mixing bowl. Stir to combine evenly. Then add the spices, salt and orange zest and fold well to incorporate. Next add the blood oranges along with the olive oil and give the salad a final mix.']",15,15,30,0,1,1
22,Molasses Baked Beans,"['1 Tablespoon Molasses', '1/2 Tablespoon Balsamic Vinegar', '2 Tablespoons Brown Sugar', '1 Tablespoon Tomato Paste', '2 Cloves Garlic', '1 Teaspoon Garlic Powder', '1 Teaspoon Dried Thyme', '2 Teaspoons Dried Oregano', '1 Tablespoon Soy Sauce', '200 g Tomato Passata', '2 Shallots', '400g Cans Cannellini Beans', '2 Tablespoons Olive Oil']",0.16,720,30.5,19.9,99.6,4,"['Finely peel and chop the banana shallots. Mash your garlic to a paste using the back of a knife or a garlic press.;', 'Heat the olive oil in a deep pan over a low-medium heat and toss in your onion and garlic. Fry gently for 5 minutes our until your shallots are soft and see-through.;', 'Add your thyme and garlic and fry for a few minutes more. Then increase the heat of the pan and tip in your beans, molasses, vinegar, sugar, tomato paste and soy sauce. Stir to coat your beans in the tomato mixture. The pour in the passata, cover and simmer for 10 minutes. After 10 minutes your sauce should be thick and dark, if the sauce is too thick you can add a little water to loosen. Season the beans to taste.;', 'Serve you beans with rations of toast and margarine. If you want to make your beans a little fancier you can top the beans with chopped chives or spring onions.;']",5,15,20,1,0,0
23,Stovetop Popcorn With A Baked Orange Glaze,"['100 g Corn Kernels', '1 Tablespoon Sunflower Oil', '40 g Vegan Butter', '1 Large Orange (juiced)', '1 Tablespoon Marmalade', '60 ml Maple Syrup']",0.13,770,21.5,9.5,144.3,2,"['Preheat your oven to 200˚c.;', 'In a large, heavy-bottomed saucepan over medium heat, combine the sunflower oil and a few corn kernels. Cover the pot and wait for the kernels to pop, this will take around 2-3 minutes.;', 'When the kernels pop, pour in the remaining kernels. Cover the pot again, and shake to distribute the kernels evenly. Continue cooking the popcorn, shaking the pot occasionally to cook the kernels evenly.;', 'Continue cooking until the popping sound slows to about one pop per every few seconds. Then pour the popcorn into a large baking tray.;', 'Now make the orange glaze. Add all the glaze ingredients to a small saucepan and simmer over a medium heat. Reduce the mixture by half, until it is nice and thick and syrupy.;', 'Spoon the sauce over the popcorn and mix with your hands to evenly coat the popcorn in the glaze. Place the popcorn in your pre-heated oven and bake for 8 – 10 minutes until the outside of the corn begins to brown a little.;', 'Remove the popcorn from and allow to cool for 5 minutes. At this point the popcorn should be wonderfully crunchy and sweet.']",0,20,20,1,1,1
24,Spinach And Kale Saag With Spiced Roast Potatoes And Cauliflower,"['1 Kg Potatoes', '5 Teaspoon Coriander Seeds', '3 Teaspoon Cumin Seeds', '2 Teaspoon Turmeric', '1/4 Teaspoon Cinnamon', '1/2 Teaspoon Salt', '4 Tablespoon Sunflower Oil', '2 Heads Cauliflower', '1 Teaspoon Ground Ginger', '1 Teaspoon Paprika', '2 Teaspoons Chilli Flakes', '3 Cardamom Pods', '2 Medium Onions', '80 g Ginger', '600 g Spinach', '300 g Kale (stems removed and roughly chopped)', '4 Cloves Garlic', '500 ml Vegetable Stock']",0.24,1585,52.4,53.9,257.7,6,"['Preheat your oven to 200˚c.;Leaving the skins on, chop the potatoes into rough 2 cm cubes. Place in a deep roasting tray and cover first with the oil and then the spices. Mix well with your hands to coat the potatoes evenly.;Break the cauliflower into individual florets then chop into quarters, place them into a another roasting tray. Cover with the oil and spices and then mix until the florets are evenly coated. Now place both your potato and cauliflower trays in the oven and roast for 30 minutes. At this point the potatoes should be crisp on the outside and the cauliflower should have some blackened spots.;Whilst your veggies are roasting prepare your saag. Peel and loosely chop the ginger, garlic and onion. Then add them to a small food processor with a tablespoon of water and whiz unto a rough paste.;Heat the two tablespoons of oil in a wide deep pan over a medium-high heat. Toss in all your spices – the cumin, the coriander, cardamom, and the chilli flakes. Toast the spices for about 2 minutes, but be careful not to burn them.;Now tip in your onion paste and fry with the spices on high for around 5 minutes until the water has evaporated and the bottom of the onions begin to brown.;Turn the pan heat down. Add your kale and spinach a handful at a time and wait for them to wilt. Continue this process until the entirety of your greens have been used.;Remove the pan from the heat and tip the contents into a food processor. Blitz the mixture into a smooth paste. Return the contents to the pan, place back on the heat and add the stock. Stir the saag to evenly incorporate the stock and add seasoning to taste. Turn the pan down to a low heat to keep warm until your potatoes and cauliflower is ready.;Once your potatoes and cauliflower is cooked, tip half of them into the saag and stir to combine. The sauce might get a bit too thick at this point, don’t fear just add a bit more water to loosen up the sauce.;Serve your saag with the rest of the cauliflower and potatoes heaped on top and a sprinkling of extra chilli flakes if you’re feeling fiery.']",15,30,45,0,1,1
25,Vegan Rice Pudding With Caramelized Blood Oranges And Pistachios,"['200 g Pudding Rice', '1200 ml Oat Milk', '1 Teaspoon Cinnamon', '1/4 Teaspoon Ground Ginger', '220 g Caster Sugar', '40 g Pistachios (crushed and loosely chopped)', '1 Vanilla Pod', '4 Large Blood Oranges']",0.24,2428,12.3,37.4,564.3,4,"['Place all the ingredients for the pudding a deep pan and bring to the boil. Turn down to a simmer, cover and cook for 45 minutes or until the rice is aldente and sauce thick.;', 'Whilst the rice is cooking prepare the blood orange sauce. Using a potato peeler remove the skin of one blood orange. Peel from top to bottom, using the largest strokes you can. Try and ensure as little pith as possible is removed. Take a sharp knife and very finely slice the peel into thin batons. Reserve in a small bowl.;', 'Now remove the all the skin from all the oranges. Slice the top and bottom off each the orange so that it sits flat on the chopping board. Then run your knife from top to bottom on the side of the orange, following the contours of the orange so that the skin is removed. Work your way round the orange until no skin or pith is left.;', 'Once all the skin is removed, slice the oranges into 1/2 cm think circles and reserve in a small bowl.;', 'Add the sugar and cinnamon and sugar to a deep pan and pour over 30ml of water. Bring the water to the boil and ensure that the sugar has dissolved. Add the orange peel batons and orange circles and turn down to a simmer. Simmer for 10 minutes until the sauce is thick and syrupy and oranges soft.;', 'Serve the rice pudding with a drizzle of orange sauce, and a few orange slices placed on top. Lightly sprinkle with crushed pistachios and enjoy.']",10,45,55,1,0,0
26,Peanut Glazed Swede With Green Cabbage And Chilli Noodles,"['1 Medium Swede', '1 Tablespoon Sesame Seeds', '5 Tablespoons Soy Sauce', '3 Tablespoons Maple Syrup', '2 Tablespoons Rice Wine Vinegar', '1 Lime (juiced)', '1 Tablespoon Crunchy Peanut Butter', '5 Tablespoons Sunflower Oil', '250 g Ramen Noodles', '200 g Green Cabbage (sliced into thin ribbons)', '100 g Ginger (peeled and finely chopped)', '2 Cloves Garlic (peeled and finely chopped)', '4 Spring Onions (thinly sliced)', '1 Red Chilli']",0.09,2288,125.0,46.7,243.4,4,"['First cook your ramen noodles. Prepare to packet instructions, then drain and reserve. Don’t worry about the noodles going cold. They’ll be heated up again later.;', 'Peel and chop the swede into 2 cm cubes. Place into a saucepan and cover with salted water. Bring the pan to the boil, then turn down to a simmer and cook for 5 minutes. Drain and reserve.;', 'Heat the 5 tablespoons of oil in a deep frying pan or wide saucepan over a high heat. When the oil begins to smoke, toss in the swede. Fry the swede cubes for 1 minute, until the underside begins to brown, then flip and fry on the opposite side for a further minute. At this point the swede should be evenly browned all over, if not just keep frying for a minute more, but be careful as the swede will quickly burn.;', 'Drain oil from the pan and remove the swede. Then pour in all the glaze ingredients, except 1/2 the lime juice, and reduce over a medium heat. Stir the mixture whilst reducing to incorporate the peanut butter. When the glaze begins to thicken and bubble, add the swede back into the pan and coat in the glaze. Cook for a further minute then take off the heat.;', 'Next heat the remaining 4 tablespoons of sunflower oil in a deep saucepan or wok over a high heat. Toss in your sliced greens and fry for 2 minutes until wilted. Then tip in the garlic, ginger, spring onions and half the chilli into the pan. Fry for a minute before pouring in the soy sauce. Stir the mixture until the soy sauce has reduced and covered the vegetables evenly. Take the pan off the heat and stir in the ramen noodles.;', 'Return the swede glaze pan back to the heat. Once the sauce begins to bubble remove. Plate your noodles and spoon the swede over the top followed by a few drops of the reserved lime juice. Sprinkle each dish with some sesame seeds and sliced chilli.']",10,20,30,0,1,1
27,Baked Black Kale Falafels,"['40 g Plain Flour', '1 Medium Onion', '15 g Dill', '25 g Parsley', '250 g Kale', '400g Cans Chickpeas', '2 Teaspoons Cumin', '1 Teaspoon Ground Coriander', '1 Teaspoon Salt', '3 Cloves Garlic', '1 Teaspoon Bicarbonate Soda', '4 Tablespoons Olive Oil']",0.23,1345,62.9,37.7,172.2,8,"['Preheat an oven to 200˚c.;', 'Roughly chop the onion and garlic. Then de-stem the cavolo nero and roughly shred.;', 'Add the onion and garlic, and 2 tablespoons of the olive oil to a food processor and blitz until smooth. Add the herb bunches and process until fine and evenly incorporated with the onion and garlic. Next tip in the cavolo nero and blitz, stop when the kale is very fine. Remove half of the mixture and reserve.;', 'Add the chickpeas, spices, flour and bicarbonate of soda to the food processor and pulse until the chickpeas resemble crumbs and the cavolo nero is well incorporated. But, don’t be tempted over work as the chickpeas will turn into a paste.;', 'Remove the chickpea mixture and pour into a large mixing bowl. Tip in the reserved cavolo nero mixture and combine with the chickpeas using a wooden spatula.;', 'Cover a large baking tray with the remaining 2 tablespoons of olive oil. Then start to form your falafels. Take about a 2 1/2 tablespoon amount of the chickpeas mixture and roll into balls using your hand. Place on the oiled tray and repeat until you have 12 evenly sized balls.;', 'Place in the oven and bake for 45 minutes. I recommend flipping the falafels at about the 30 minute mark using a fork or a spatula. This isn’t strictly necessary but will ensure a crispier falafel.;', 'Once cooked remove you can serve these falafels both cold or hot, and they lend themselves well to being frozen.']",0,60,60,1,0,0
28,Vegan Banana Pancakes With A Smashed Blueberry Sauce,"['150 g Self-raising Flour', '200 ml Plant-Based Milk', '1 Teaspoon Baking Powder', '2 Tablespoon Caster Sugar', '1 Teaspoon Vanilla Extract', '2 Medium Bananas', '2 Tablespoons Sunflower Oil', '150 g Blueberries', '1 Tablespoon Vegan Butter', '4 Tablespoons Water']",0.13,1534,54.4,39.2,232.3,2,"['To make the sauce, place the blueberries in a small but deep pan. Lightly crush the blueberries using a fork or potato masher. Gently heat the pan and add the butter. When the butter has melted alongside the blueberries add the sugar and stir to incorporate. Finally, tip in the water and bring the pan mixture to the boil. Then turn down the heat and simmer for 3 minutes or so until the sauce is thick enough to coat the back of a spoon. Keep warm in the pan until needed.;', 'Now move onto the pancakes. First prepare banana slices. Peel one of your bananas and slice it crossways into half centimetre circles. Reserve a small prep bowl until needed.;', 'Add the flour, baking powder, sugar and vanilla extract to a large mixing bowl. Take remaining banana, peel and mash it into a fine paste using a fork. Then tip into the mixing bowl with the flour. Gently whisk the mixture to gather the ingredients. While whisking, gradually start to pour in the milk. Continue pouring and whisking until you have a thick and even pancake batter.;', 'Heat a small amount of the oil over a medium-high heat in a large frying pan. When the oil has heated for some time, add a large dollop of the pancake batter. Now arrange a few pieces of slice banana over the top of the pancake. Cook the batter until you begin to see air bubbles appear in the top of the pancake – this should take 2-3 minutes. Flip the pancake and cook on the opposing side for a further 2 minutes. Remove the pancake from the pan and continue the process until all your batter is used.;', 'Serve the pancakes in large stacks of 3 or 4 with the hot blueberry sauce poured over the top.']",10,15,25,1,1,0
